customer_id,first_name,last_name,date_of_birth,gender,signup_date,status,primary_phone,customer_segment,city,created_at
f4f91328-99cf-4d17-84d8-bfd43ad7b80c,Antonio,Smith,1976-12-05,F,2025-03-10,1,+20107460044,normal,Samanthafort,2025-11-23 10:51:35.306830
599e49bb-bcec-428d-889a-4f0056670354,Brenda,Huffman,1976-12-05,F,2021-06-15,1,+20103151617,corporate,Port Kimberly,2025-11-23 10:51:35.345390
2f0966fb-18ff-4751-9a76-fdba378e19df,Michael,Burns,1989-12-02,M,2022-04-27,1,+20101738407,normal,East Melissa,2025-11-23 10:51:35.524288
799307c3-f021-4778-b405-fb844ac44f0e,Hannah,Phillips,2014-11-26,M,2022-03-18,1,+20103722056,normal,West Lisaville,2025-11-23 10:51:33.083052
6ea809b5-fc5d-4dac-8bc2-9065f1e0c14f,Cody,Williams,1991-12-02,F,2023-02-09,1,+20109028413,normal,East Daniel,2025-11-23 10:51:37.636977
0855eace-a509-4424-9702-b7315f698dcb,Julie,Smith,1969-12-07,F,2021-10-30,1,+20107988386,normal,Michaelport,2025-11-23 10:51:33.269567
5dc6f54a-7fcd-4def-80d6-5b2d9dacea9d,Keith,Griffin,1978-12-05,F,2023-07-08,1,+20106553761,normal,Fullerside,2025-11-23 10:51:38.915652
609659b2-9984-41ec-8675-f892c1df86de,Gregory,Cline,2017-11-25,M,2023-04-15,1,+20104548668,normal,Townsendstad,2025-11-23 10:51:34.087135
2476b83e-81ed-43fd-aec9-541475a7ec6d,Natasha,Kemp,2013-11-26,M,2022-09-09,1,+20101009512,vip,Tracistad,2025-11-23 10:51:37.708014
1473b13a-3353-49d4-a578-121873a54514,Nathan,Sullivan,1975-12-06,M,2025-08-01,1,+20101229419,normal,Lake Jeremiah,2025-11-23 10:51:32.891587
16d955ef-e2bc-4a3d-9b0c-5e63f5ad76f3,Theresa,Moore,1987-12-03,F,2022-01-21,1,+20107786729,normal,Lake Lindsay,2025-11-23 10:51:37.866302
2fd8f642-3434-432f-97fe-86d358cf5227,Anna,Flores,2012-11-26,F,2023-09-16,1,+20105651273,normal,Robertchester,2025-11-23 10:51:36.625612
0548f282-ef43-4f3e-9d26-5dc79eca2451,Shawn,Zimmerman,2002-11-29,F,2024-11-24,1,+20104341683,normal,Devonbury,2025-11-23 10:51:39.165216
be794893-8008-4d7d-83b2-8bf611c77ebe,Diana,Neal,2016-11-25,F,2024-03-25,1,+20106018095,normal,North Johnfort,2025-11-23 10:51:35.721087
3eb2bf60-cdb7-4cb5-b978-e0360d1755e8,April,Lopez,2017-11-25,F,2021-03-22,1,+20105993383,normal,North Angela,2025-11-23 10:51:38.526817
afc46fd5-1dd6-450e-9f9e-c2ccd60f126f,Rachel,Lopez,1961-12-09,M,2025-06-26,1,+20102977453,normal,West Patricia,2025-11-23 10:51:35.817525
7a648a36-eaca-41a3-b045-38da32846df9,Robert,Hoffman,1960-12-09,M,2022-01-02,1,+20107883963,normal,Torresside,2025-11-23 10:51:35.063729
2ae28a5d-0770-42de-9981-7e1966b43e16,Dana,Hudson,1981-12-04,F,2021-09-01,1,+20107788683,normal,Mooreside,2025-11-23 10:51:37.092761
6a3ef291-eb36-4032-af9b-a60548dd7693,Kyle,Smith,2011-11-27,M,2025-05-16,1,+20105812312,normal,Sandersbury,2025-11-23 10:51:38.114344
396e1edb-5657-4b23-a7f1-e4962d393418,Heather,Lee,2007-11-28,F,2023-07-31,1,+20105182400,normal,Wendyhaven,2025-11-23 10:51:38.523819
71b96aac-2bdc-4203-b9d5-f11d70b652e7,Charles,Brown,1996-11-30,M,2021-02-23,1,+20102523024,normal,Jenniferstad,2025-11-23 10:51:34.931614
069ca2f5-ff21-4c2f-bbf4-7ff8c0549ce1,Christopher,Krueger,1993-12-01,F,2022-04-09,1,+20104265164,normal,Robertland,2025-11-23 10:51:37.131570
c0be3b5e-f0af-40f1-a821-cd5a61f351dc,Kevin,Nunez,2007-11-28,F,2025-11-19,1,+20102695038,normal,Jacksonmouth,2025-11-23 10:51:33.715022
21af55d3-71ba-445e-982c-549666967476,Andrew,Blackburn,1983-12-04,F,2021-05-10,1,+20101153613,normal,Chapmanchester,2025-11-23 10:51:38.670575
4983651f-be19-4fa5-ac08-cb964c4e3767,Monica,Combs,1963-12-09,F,2025-01-16,1,+20102456742,normal,North Jamesstad,2025-11-23 10:51:37.506390
96d60052-502c-4d82-886a-eebff41ae92a,Emily,Jennings,1965-12-08,F,2024-08-27,1,+20105345236,normal,Port James,2025-11-23 10:51:34.719660
46714e2b-43af-43b6-b43a-069da269691f,Lisa,Payne,2017-11-25,F,2024-08-05,1,+20103898766,normal,Wardville,2025-11-23 10:51:37.343141
bbeaa207-061c-4ebe-95db-0c08d57634e5,Martha,Dawson,1973-12-06,M,2022-04-22,1,+20104858604,normal,Castrofort,2025-11-23 10:51:34.086148
fc8af3a7-0827-4a36-9c65-e768efda7a2d,Jeffrey,Ramirez,1964-12-08,F,2022-06-15,1,+20104190481,normal,Lake Jamesfort,2025-11-23 10:51:34.195619
723a1e3c-9bb9-4a36-94d0-7efc83da3c3c,Courtney,Little,1991-12-02,M,2024-12-07,1,+20103569046,normal,North Stephenville,2025-11-23 10:51:33.864093
7a9a3e3f-59c9-429c-b85c-f27d2d603f6b,Jose,Escobar,1984-12-03,F,2023-12-18,1,+20108924295,corporate,New Brianashire,2025-11-23 10:51:35.196905
a222e878-b132-4a5a-be0b-0faf721db1ff,Belinda,Fowler,2015-11-26,F,2024-06-05,1,+20101403608,normal,Alexischester,2025-11-23 10:51:35.294693
5a1d3440-0422-4b9d-83ac-23cbd7aff10c,Caitlyn,White,1987-12-03,M,2025-09-24,1,+20101768056,vip,Jillstad,2025-11-23 10:51:36.390771
c92a8cd9-3e6e-47af-a294-2d12e4de467f,Adrian,Brooks,2000-11-29,F,2022-04-20,1,+20107767788,vip,New Justin,2025-11-23 10:51:33.852871
0c1a27f8-a8bc-4ee4-8e28-41391967b32b,Sara,Phelps,2017-11-25,M,2023-03-28,1,+20102391894,corporate,Claireland,2025-11-23 10:51:36.122506
8ded8539-3f99-480a-8348-fa7f4ca0a60f,Adrian,Hall,2013-11-26,F,2022-03-06,1,+20101116714,vip,East Jessica,2025-11-23 10:51:36.744956
4815ca01-5027-4a91-9d42-4e7ad41be16f,Lauren,Wagner,2001-11-29,F,2022-07-18,1,+20102823879,normal,Carrville,2025-11-23 10:51:36.892827
98302bc0-ce6d-460e-b63e-784e515063eb,Joseph,Jackson,2008-11-27,F,2021-03-16,1,+20108398337,normal,Cuevasstad,2025-11-23 10:51:38.991598
9d8dc372-21c7-45d1-bc77-67e2b0f9530f,Cheryl,Johnson,1969-12-07,M,2021-12-06,1,+20101418175,normal,Huntberg,2025-11-23 10:51:34.858096
c151e515-c95d-43c0-bf7f-d447da32341b,Judy,Baxter,2011-11-27,F,2024-03-14,1,+20104095032,normal,Katrinachester,2025-11-23 10:51:37.207766
ad7b3741-fa72-4651-ba65-2f18c90688fc,Stephanie,Lee,2017-11-25,M,2022-06-05,1,+20104056945,normal,Danielmouth,2025-11-23 10:51:35.160236
fa660202-9719-4f1c-b67d-78885adbef8f,Heather,Carlson,2005-11-28,F,2023-06-13,1,+20107826160,vip,Nathanchester,2025-11-23 10:51:37.841215
1788ac63-e84c-4018-ad01-e0f625fdfa38,Nicholas,Stone,2006-11-28,F,2021-04-16,1,+20107726402,normal,West Jennifer,2025-11-23 10:51:33.641355
fa5e4d6a-042f-4b00-a0a2-23ec2e43f1e1,Amber,Baker,2007-11-28,F,2024-10-26,1,+20107724584,normal,North Matthew,2025-11-23 10:51:34.618562
